i,latency_ms,action_left,action_right
0,0.021906,59.86398,-142.12656
1,0.021339,-93.89759,-101.611755
2,0.020351,31.414633,-91.23145
3,0.019609,24.179039,102.09184
4,0.02003,-9.398098,-48.0988
5,0.019648,-150.9059,96.85483
6,0.019492,66.68121,-123.73564
7,0.020425,-36.68662,-48.053238
8,0.019916,-102.39985,-87.59514
9,0.020997,64.81936,-50.511673
10,0.021068,-102.899666,101.800835
11,0.02006,-109.283295,-58.08087
12,0.019376,-1.9856466,163.59973
13,0.019363,7.2274694,100.0711
14,0.019963,-112.76183,-30.874365
15,0.019714,37.829945,-157.97102
16,0.021072,-143.625,113.41868
17,0.020199,72.73296,-120.559074
18,0.019276,76.05158,-115.06527
19,0.019825,45.095367,90.76132
20,0.020137,77.0936,-80.65032
21,0.019507,-26.754173,113.729294
22,0.020654,69.88809,-64.53936
23,0.019336,-1.7796888,89.53632
24,0.019632,-119.208565,12.933692
25,0.019698,-82.98248,-100.84231
26,0.020172,-106.72632,-55.436703
27,0.01836,-111.25275,49.59121
28,0.021783,-78.29903,90.92528
29,0.025758,71.02151,-70.60922
30,0.020085,-148.69547,75.94016
31,0.020485,32.548275,58.492157
32,0.020732,75.74006,-117.16782
33,0.021158,-52.468952,79.91333
34,0.019729,-108.952934,-46.15219
35,0.02135,-12.98735,90.279205
36,0.02181,-152.11153,113.93085
37,0.020242,86.687195,178.72075
38,0.019637,-111.99843,-27.625193
39,0.020994,-85.978004,-9.054345
40,0.020372,-123.05209,-10.225365
41,0.018832,14.530725,119.01994
42,0.019803,-107.49514,-58.631824
43,0.019987,20.281849,130.3298
44,0.020615,-37.867325,80.048584
45,0.018486,-19.665903,-81.04524
46,0.019768,50.419163,-158.84082
47,0.019467,55.806973,-136.41022
48,0.019802,-95.83191,77.99324
49,0.021258,-96.67285,98.19227
50,0.020301,-125.01266,74.49387
51,0.02031,-129.83267,30.619791
52,0.019394,52.110016,42.07919
53,0.019627,27.805838,-157.9293
54,0.020769,30.625866,110.20198
55,0.021593,124.47954,-163.93823
56,0.019856,-103.38249,-61.03307
57,0.019471,-151.89476,91.40661
58,0.019725,-114.14778,39.303635
59,0.020681,63.65413,-150.9943
60,0.019692,64.95878,-125.28147
61,0.019327,-34.11816,121.20483
62,0.019919,-72.00472,-108.598274
63,0.02024,-98.24377,-90.76444
64,0.019617,-12.552556,-87.677704
65,0.020318,52.244724,-74.95762
66,0.019388,-15.758746,-100.32737
67,0.01981,3.0369337,-163.36589
68,0.020135,53.9035,-49.37014
69,0.020099,55.22063,-121.331635
70,0.020126,5.2801147,-116.67195
71,0.01978,61.7408,-68.37218
72,0.020041,60.419147,-67.68562
73,0.020113,-1.9500822,-107.8464
74,0.020106,44.614105,-104.915886
75,0.02606,59.83541,-76.714806
76,0.020622,62.15252,-115.77232
77,0.019873,-29.114567,-191.03342
78,0.019912,57.053402,-64.920616
79,0.020026,1.7733202,-102.731255
80,0.020242,46.82147,-107.5215
81,0.019673,-27.013258,-108.06916
82,0.02003,13.713119,-119.85603
83,0.019575,-41.98047,-168.33466
84,0.019804,-15.520921,-131.23828
85,0.020008,39.898598,-115.96097
86,0.020018,2.2140315,-109.92634
87,0.020228,41.16015,-117.94774
88,0.019858,41.591934,-109.74958
89,0.020268,59.919926,-84.05742
90,0.01982,44.895226,-66.63281
91,0.019844,42.81168,-140.5463
92,0.020145,41.66736,-93.19564
93,0.020221,-2.485229,-118.98173
94,0.019382,62.510323,-134.51566
95,0.019887,-22.062195,-175.58238
96,0.020412,8.608932,-109.99788
97,0.0203,40.997887,-127.71868
98,0.019971,52.070534,-64.6396
99,0.019903,45.753365,-107.96894
100,0.019341,42.708435,-147.51515
101,0.019825,-21.387655,-164.35318
102,0.019624,50.020138,-70.18811
103,0.019949,65.86489,-95.636375
104,0.019885,53.099598,-57.861122
105,0.01946,-34.701267,-168.871
106,0.019601,54.759586,-65.49083
107,0.019214,-23.620924,-172.55736
108,0.01985,40.2915,-122.832664
109,0.020377,62.61892,-61.657047
110,0.01956,-17.350803,-101.22488
111,0.019897,-4.102153,-110.159996
112,0.022736,53.10827,-142.29216
113,0.021159,44.709614,-113.81567
114,0.019783,47.37055,-141.37242
115,0.020029,41.02489,-118.34574
116,0.020949,-40.08518,-168.49857
117,0.019948,2.4084694,-114.20863
118,0.019835,-12.7215395,-165.7752
119,0.019528,-12.936767,-104.69487
120,0.020485,52.98811,-59.69524
121,0.02067,56.738678,-116.54566
122,0.021384,37.27605,-120.074234
123,0.020851,-11.878714,-102.23562
124,0.020523,12.87803,-84.97772
125,0.019999,49.690063,-110.62853
126,0.020316,67.05223,-62.35335
127,0.02004,49.772438,-60.856304
128,0.019523,-103.40234,-144.41516
129,0.019379,-96.146454,-139.36177
130,0.019087,-64.2539,-120.159966
131,0.019024,-206.8063,-211.31851
132,0.019052,-75.76863,-138.11737
133,0.018772,-150.6857,-188.07245
134,0.019086,-177.0496,-190.89044
135,0.019669,-54.785633,-130.63756
136,0.019696,-115.97935,-130.27667
137,0.019713,-31.16469,-135.9516
138,0.019483,-169.33002,-167.62967
139,0.019597,-88.41416,-138.76552
140,0.01966,-132.42467,-165.23964
141,0.019551,-96.65079,-177.06096
142,0.019142,-87.68733,-132.19214
143,0.019584,-115.70076,-156.2708
144,0.019524,-106.819374,-132.96173
145,0.019565,-48.43855,-129.04231
146,0.018964,-104.06525,-166.06978
147,0.018986,-120.399734,-157.89696
148,0.019625,-14.3868885,-125.40654
149,0.018997,-176.24265,-155.34488
150,0.01934,-182.14021,-192.97505
151,0.018641,-168.66292,-158.41237
152,0.019234,-155.79156,-176.8136
153,0.019309,-58.701668,-129.43456
154,0.019163,-115.96372,-155.05783
155,0.019777,-120.320526,-135.39569
